frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
184,3.0978,0.0213,0.0164,169,0.4914,0.193609,142,0.5507,0.0542
185,3.1146,-0.1130,0.0391,163,0.4127,0.193609,133,0.5543,0.0602
186,3.1314,-0.1131,0.0391,163,0.4127,0.193609,140,0.5481,0.1424
187,3.1483,-0.1130,0.0389,163,0.4126,0.193609,140,0.5481,0.1422
188,3.1651,-0.0431,-0.0026,165,0.4415,0.193526,142,0.5521,0.0441
189,3.1819,0.2701,-0.0983,174,0.6429,0.193636,138,0.5520,0.3654
190,3.1988,0.2699,-0.0948,174,0.6396,0.193629,142,0.5514,0.3253
191,3.2156,-0.1438,0.0219,163,0.4159,0.193557,142,0.5530,0.0876
192,3.2324,-0.0607,0.0067,164,0.4254,0.193535,142,0.5577,0.0685
193,3.2493,0.0412,0.0152,169,0.4911,0.193602,142,0.5576,0.0352
194,3.2661,0.0413,0.0152,169,0.4910,0.193602,142,0.5578,0.0352
195,3.2829,0.0287,0.0139,168,0.4779,0.193597,142,0.5585,0.0229
196,3.2998,0.0287,0.0139,168,0.4780,0.193597,142,0.5939,0.0164
197,3.3166,0.0408,0.0151,169,0.4912,0.193602,142,0.5938,0.0270
198,3.3335,0.0389,0.0146,169,0.4909,0.193604,142,0.5938,0.0254
199,3.3503,0.0414,0.0149,169,0.4910,0.193601,136,0.5627,0.0824
200,3.3671,0.0426,0.0145,169,0.4914,0.193600,142,0.5517,0.0747
201,3.3840,0.0427,0.0146,169,0.4914,0.193600,142,0.5518,0.0747
202,3.4008,0.0428,0.0145,169,0.4914,0.193600,140,0.5628,0.1132
203,3.4176,0.0426,0.0145,169,0.4910,0.193600,140,0.5626,0.1130
204,3.4345,-0.0257,0.0341,167,0.4684,0.193634,140,0.5625,0.0517
205,3.4513,-0.0617,0.0360,164,0.4273,0.193619,140,0.5624,0.0293
206,3.4681,0.0593,-0.0044,169,0.4914,0.193585,140,0.5625,0.1299
207,3.4850,-0.0266,0.0347,167,0.4688,0.193635,140,0.5625,0.0511
208,3.5018,0.0594,-0.0043,169,0.4914,0.193585,140,0.5625,0.1300
209,3.5186,0.0801,-0.0322,173,0.5967,0.193650,141,0.5664,0.1007
210,3.5355,0.0677,-0.0230,174,0.5968,0.193676,143,0.5855,0.2060
211,3.5523,0.0299,0.0303,169,0.5230,0.193739,142,0.5640,0.0162
212,3.5691,0.0299,0.0302,169,0.5230,0.193739,130,0.5728,0.1242
213,3.5860,-0.0282,0.0293,167,0.4701,0.193650,124,0.5854,0.0595
214,3.6028,-0.0280,0.0294,167,0.4700,0.193650,143,0.5606,0.0152
215,3.6197,0.1009,0.0352,169,0.5000,0.193536,138,0.5921,0.2415
216,3.6365,0.0339,0.0019,169,0.4939,0.193600,138,0.5920,0.1741
217,3.6533,-0.0608,-0.0001,163,0.4168,0.193568,138,0.5918,0.0804
218,3.6702,-0.1312,-0.0090,163,0.4263,0.193527,138,0.5914,0.0249
219,3.6870,-0.1310,-0.0091,163,0.4262,0.193527,140,0.5694,0.0594
220,3.7038,0.0460,-0.0065,169,0.4943,0.193592,140,0.5695,0.1650
221,3.7207,-0.0629,0.0073,163,0.4120,0.193560,140,0.5695,0.0614
222,3.7375,-0.0628,0.0072,163,0.4120,0.193560,140,0.5695,0.0616
223,3.7543,-0.0630,0.0073,163,0.4119,0.193560,141,0.5969,0.0539
224,3.7712,-0.0629,0.0072,163,0.4119,0.193560,141,0.5968,0.0538
225,3.7880,0.0029,0.0182,167,0.4687,0.193612,138,0.5920,0.1424
226,3.8048,0.0029,0.0182,167,0.4686,0.193612,138,0.5918,0.1423
227,3.8217,0.0025,0.0182,167,0.4687,0.193613,138,0.5915,0.1413
228,3.8385,-0.0652,0.0084,163,0.4118,0.193563,138,0.5917,0.0738
229,3.8554,-0.0656,0.0083,163,0.4114,0.193563,143,0.5894,0.0648
230,3.8722,0.0579,-0.0210,175,0.6264,0.193716,143,0.5897,0.1468
231,3.8890,0.0588,-0.0228,174,0.6092,0.193703,143,0.5783,0.1066
232,3.9059,0.2927,-0.1390,172,0.5851,0.193512,143,0.5783,0.3648
233,3.9227,0.2928,-0.1389,172,0.5852,0.193512,143,0.5923,0.4227
234,3.9395,-0.0648,0.0039,163,0.4119,0.193554,143,0.5923,0.0908
235,3.9564,0.1266,-0.0286,169,0.5098,0.193626,143,0.5923,0.2234
236,3.9732,0.1267,-0.0288,169,0.5099,0.193626,143,0.5924,0.2236
237,3.9900,0.0575,-0.0224,174,0.6096,0.193704,143,0.5924,0.1658
238,4.0069,0.0555,-0.0229,174,0.6085,0.193704,141,0.5859,0.0872
239,4.0237,0.0554,-0.0229,174,0.6084,0.193703,143,0.5923,0.1647
240,4.0405,0.0690,-0.0147,170,0.5139,0.193594,137,0.5627,0.1020
241,4.0574,0.0262,0.0083,168,0.4800,0.193597,137,0.5629,0.0536
242,4.0742,0.0263,0.0084,168,0.4800,0.193597,142,0.5544,0.0549
243,4.0911,0.0589,-0.0272,170,0.5143,0.193633,142,0.5553,0.0915
244,4.1079,0.0149,0.0163,168,0.4795,0.193607,142,0.5553,0.0300
245,4.1247,0.0148,0.0163,168,0.4790,0.193607,142,0.5573,0.0298
246,4.1416,0.0064,0.0302,169,0.5072,0.193669,143,0.5691,0.0305
247,4.1584,-0.0067,0.0316,167,0.4745,0.193655,143,0.5691,0.0176
248,4.1752,-0.0067,0.0316,167,0.4745,0.193655,143,0.5690,0.0176
249,4.1921,-0.1761,-0.0332,161,0.4285,0.193453,143,0.5686,0.1685
250,4.2089,0.0088,0.0175,168,0.4787,0.193616,142,0.5565,0.0238
251,4.2257,0.0090,0.0177,168,0.4788,0.193616,143,0.5791,0.1561
252,4.2426,-0.0411,-0.0073,165,0.4407,0.193548,143,0.5791,0.1353
253,4.2594,-0.1829,-0.0286,160,0.4154,0.193431,143,0.5791,0.1420
254,4.2762,-0.1827,-0.0288,160,0.4153,0.193431,143,0.5792,0.1422
255,4.2931,0.0398,0.0077,168,0.4802,0.193596,138,0.5775,0.0794
256,4.3099,0.0397,0.0078,168,0.4802,0.193596,138,0.5775,0.0793
257,4.3268,0.0402,0.0077,168,0.4805,0.193596,138,0.5776,0.0798
258,4.3436,-0.0728,0.0138,163,0.4084,0.193556,139,0.5862,0.0547
259,4.3604,-0.0728,0.0138,163,0.4083,0.193556,139,0.5863,0.0546
260,4.3773,-0.0008,0.0287,167,0.4724,0.193660,130,0.5434,0.0931
261,4.3941,-0.1505,0.0333,164,0.4271,0.193675,130,0.5529,0.0560
262,4.4109,-0.1509,0.0335,164,0.4272,0.193676,130,0.5434,0.0633
263,4.4278,0.0513,-0.0023,168,0.4811,0.193592,130,0.5505,0.1609
264,4.4446,0.0513,-0.0025,168,0.4811,0.193592,139,0.5852,0.0815
265,4.4614,-0.1512,0.0333,164,0.4269,0.193676,140,0.5773,0.2810
266,4.4783,-0.1514,0.0333,164,0.4270,0.193676,140,0.5773,0.2811
267,4.4951,-0.1643,-0.0027,162,0.4108,0.193516,139,0.5848,0.1437
268,4.5119,-0.1643,-0.0027,162,0.4108,0.193516,139,0.5848,0.1436
269,4.5288,-0.1644,-0.0026,162,0.4109,0.193516,140,0.5773,0.2898
270,4.5456,-0.0663,0.0055,164,0.4309,0.193542,142,0.6009,0.0569
271,4.5625,-0.0811,0.0139,163,0.4152,0.193552,142,0.5852,0.2381
272,4.5793,-0.0811,0.0139,163,0.4153,0.193552,135,0.5632,0.2138
273,4.5961,-0.0811,0.0139,163,0.4153,0.193552,135,0.5633,0.2139
274,4.6130,-0.0812,0.0139,163,0.4152,0.193552,141,0.5759,0.2630
275,4.6298,0.0334,0.0171,169,0.4938,0.193611,143,0.5843,0.0336
