frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
191,3.2156,-0.0046,-0.0016,1999,1.0000,0.6104,
192,3.2324,-0.0046,-0.0016,2000,1.0000,0.6100,
193,3.2493,-0.0047,-0.0016,2000,1.0000,0.6097,
194,3.2661,-0.0047,-0.0017,2000,1.0000,0.6097,
195,3.2829,-0.0047,-0.0016,2000,1.0000,0.6098,
196,3.2998,-0.0047,-0.0017,1999,1.0000,0.6098,
197,3.3166,-0.0046,-0.0017,1999,1.0000,0.6097,
198,3.3335,-0.0047,-0.0017,2000,1.0000,0.6097,
199,3.3503,-0.0046,-0.0016,2000,1.0000,0.6097,
200,3.3671,-0.0046,-0.0016,2000,1.0000,0.6097,
201,3.3840,-0.0046,-0.0016,2000,1.0000,0.6097,
202,3.4008,-0.0046,-0.0015,2000,1.0000,0.6097,
203,3.4176,-0.0046,-0.0015,2000,1.0000,0.6097,
204,3.4345,-0.0046,-0.0015,2000,1.0000,0.6103,
205,3.4513,-0.0045,-0.0015,2000,1.0000,0.6104,
206,3.4681,-0.0045,-0.0015,2000,1.0000,0.6098,
207,3.4850,-0.0045,-0.0015,2000,1.0000,0.6103,
208,3.5018,-0.0045,-0.0015,2000,1.0000,0.6098,
209,3.5186,-0.0045,-0.0015,2000,1.0000,0.6086,
210,3.5355,-0.0023,-0.0008,2000,1.0000,0.6088,
211,3.5523,-0.0023,-0.0008,2000,1.0000,0.6097,
212,3.5691,-0.0023,-0.0008,2000,1.0000,0.6097,
213,3.5860,-0.0023,-0.0009,1999,1.0000,0.6102,
214,3.6028,-0.0023,-0.0008,2000,1.0000,0.6102,
215,3.6197,-0.0024,-0.0008,2000,1.0000,0.6092,
216,3.6365,-0.0024,-0.0008,2000,1.0000,0.6098,
217,3.6533,-0.0025,-0.0008,1999,1.0000,0.6101,
218,3.6702,-0.0024,-0.0008,2000,1.0000,0.6103,
219,3.6870,-0.0024,-0.0008,2000,1.0000,0.6103,
220,3.7038,-0.0024,-0.0008,2000,1.0000,0.6097,
221,3.7207,-0.0024,-0.0007,2000,1.0000,0.6103,
222,3.7375,-0.0025,-0.0007,2000,1.0000,0.6103,
223,3.7543,-0.0025,-0.0007,2000,1.0000,0.6103,
224,3.7712,-0.0025,-0.0007,2000,1.0000,0.6103,
225,3.7880,-0.0025,-0.0008,2000,1.0000,0.6101,
226,3.8048,-0.0025,-0.0007,2000,1.0000,0.6101,
227,3.8217,-0.0025,-0.0007,2000,1.0000,0.6101,
228,3.8385,-0.0026,-0.0005,2000,1.0000,0.6103,
229,3.8554,-0.0026,-0.0005,2000,1.0000,0.6103,
230,3.8722,-0.0026,-0.0006,2000,1.0000,0.6087,
231,3.8890,-0.0027,-0.0006,2000,1.0000,0.6088,
232,3.9059,-0.0026,-0.0006,2000,1.0000,0.6091,
233,3.9227,-0.0026,-0.0006,2000,1.0000,0.6091,
234,3.9395,-0.0027,-0.0007,2000,1.0000,0.6103,
235,3.9564,-0.0027,-0.0006,1999,1.0000,0.6097,
236,3.9732,-0.0027,-0.0007,1999,1.0000,0.6097,
237,3.9900,-0.0026,-0.0007,2000,1.0000,0.6088,
238,4.0069,-0.0026,-0.0006,2000,1.0000,0.6088,
239,4.0237,-0.0026,-0.0006,2000,1.0000,0.6088,
240,4.0405,-0.0013,-0.0003,1997,1.0000,0.6092,
241,4.0574,-0.0013,-0.0004,2000,1.0000,0.6098,
242,4.0742,-0.0013,-0.0004,2000,1.0000,0.6098,
243,4.0911,-0.0014,-0.0004,2000,1.0000,0.6097,
244,4.1079,-0.0014,-0.0004,2000,1.0000,0.6099,
245,4.1247,-0.0014,-0.0003,2000,1.0000,0.6099,
246,4.1416,-0.0014,-0.0004,2000,1.0000,0.6098,
247,4.1584,-0.0014,-0.0004,2000,1.0000,0.6103,
248,4.1752,-0.0014,-0.0004,2000,1.0000,0.6103,
249,4.1921,-0.0014,-0.0003,2000,1.0000,0.6102,
250,4.2089,-0.0014,-0.0002,2000,1.0000,0.6099,
251,4.2257,-0.0014,-0.0002,2000,1.0000,0.6099,
252,4.2426,-0.0014,-0.0002,2000,1.0000,0.6098,
253,4.2594,-0.0014,-0.0002,1999,1.0000,0.6102,
254,4.2762,-0.0014,-0.0002,2000,1.0000,0.6102,
255,4.2931,-0.0015,-0.0002,2000,1.0000,0.6099,
256,4.3099,-0.0014,-0.0001,2000,1.0000,0.6099,
257,4.3268,-0.0014,-0.0002,2000,1.0000,0.6099,
258,4.3436,-0.0015,-0.0001,2000,1.0000,0.6102,
259,4.3604,-0.0014,-0.0001,2000,1.0000,0.6102,
260,4.3773,-0.0015,-0.0001,2000,1.0000,0.6102,
261,4.3941,-0.0015,-0.0000,2000,1.0000,0.6107,
262,4.4109,-0.0015,-0.0000,2000,1.0000,0.6107,
263,4.4278,-0.0015,-0.0000,2000,1.0000,0.6099,
264,4.4446,-0.0014,-0.0000,2000,1.0000,0.6099,
265,4.4614,-0.0015,-0.0000,2000,1.0000,0.6107,
266,4.4783,-0.0015,-0.0000,2000,1.0000,0.6107,
267,4.4951,-0.0015,-0.0001,2000,1.0000,0.6103,
268,4.5119,-0.0015,-0.0000,2000,1.0000,0.6103,
269,4.5288,-0.0015,0.0000,2000,1.0000,0.6103,
270,4.5456,-0.0030,0.0004,1999,0.9995,0.6101,
271,4.5625,-0.0030,0.0004,2000,1.0000,0.6102,
272,4.5793,-0.0030,0.0004,2000,1.0000,0.6102,
273,4.5961,-0.0030,0.0004,2000,1.0000,0.6102,
274,4.6130,-0.0030,0.0004,2000,1.0000,0.6102,
275,4.6298,-0.0029,0.0004,2000,1.0000,0.6097,
276,4.6466,-0.0029,0.0004,2000,1.0000,0.6097,
277,4.6635,-0.0028,0.0003,2000,1.0000,0.6097,
278,4.6803,-0.0029,0.0005,2000,1.0000,0.6097,
279,4.6971,-0.0028,0.0005,2000,1.0000,0.6097,
280,4.7140,-0.0029,0.0004,2000,1.0000,0.6102,
281,4.7308,-0.0029,0.0004,2000,1.0000,0.6102,
282,4.7476,-0.0029,0.0004,2000,1.0000,0.6102,
283,4.7645,-0.0029,0.0004,2000,1.0000,0.6102,
284,4.7813,-0.0029,0.0004,2000,1.0000,0.6102,
285,4.7981,-0.0030,0.0004,1999,1.0000,0.6102,
286,4.8150,-0.0030,0.0003,2000,1.0000,0.6102,
287,4.8318,-0.0030,0.0003,2000,1.0000,0.6102,
288,4.8487,-0.0031,0.0003,2000,1.0000,0.6102,
289,4.8655,-0.0030,0.0003,2000,1.0000,0.6102,
290,4.8823,-0.0030,0.0003,2000,1.0000,0.6102,
291,4.8992,-0.0030,0.0003,2000,1.0000,0.6098,
292,4.9160,-0.0030,0.0002,1999,1.0000,0.6093,
293,4.9328,-0.0029,0.0002,2000,1.0000,0.6093,
294,4.9497,-0.0031,0.0003,2000,1.0000,0.6101,
295,4.9665,-0.0030,0.0003,2000,1.0000,0.6101,
296,4.9833,-0.0030,0.0003,2000,1.0000,0.6100,
297,5.0002,-0.0030,0.0003,2000,1.0000,0.6100,
298,5.0170,-0.0030,0.0003,2000,1.0000,0.6100,
299,5.0338,-0.0031,0.0003,1999,1.0000,0.6100,
300,5.0507,-0.0027,0.0020,1999,1.0000,0.6101,
301,5.0675,-0.0027,0.0020,2000,1.0000,0.6101,
302,5.0844,-0.0027,0.0020,2000,1.0000,0.6101,
303,5.1012,-0.0028,0.0020,2000,1.0000,0.6102,
304,5.1180,-0.0028,0.0020,2000,1.0000,0.6108,
305,5.1349,-0.0028,0.0019,2000,1.0000,0.6103,
306,5.1517,-0.0028,0.0019,2000,1.0000,0.6103,
307,5.1685,-0.0028,0.0020,2000,1.0000,0.6103,
308,5.1854,-0.0028,0.0020,2000,1.0000,0.6103,
309,5.2022,-0.0028,0.0020,2000,1.0000,0.6103,
310,5.2190,-0.0027,0.0020,2000,1.0000,0.6103,
311,5.2359,-0.0026,0.0021,2000,1.0000,0.6103,
312,5.2527,-0.0027,0.0021,2000,1.0000,0.6103,
313,5.2695,-0.0026,0.0021,2000,1.0000,0.6103,
314,5.2864,-0.0027,0.0021,2000,1.0000,0.6096,
315,5.3032,-0.0026,0.0020,2000,1.0000,0.6099,
316,5.3201,-0.0026,0.0020,2000,1.0000,0.6099,
317,5.3369,-0.0027,0.0020,2000,1.0000,0.6099,
318,5.3537,-0.0026,0.0020,2000,1.0000,0.6099,
319,5.3706,-0.0026,0.0021,2000,1.0000,0.6099,
320,5.3874,-0.0026,0.0021,2000,1.0000,0.6103,
321,5.4042,-0.0025,0.0021,2000,1.0000,0.6103,
322,5.4211,-0.0025,0.0021,2000,1.0000,0.6103,
323,5.4379,-0.0025,0.0021,2000,1.0000,0.6103,
324,5.4547,-0.0025,0.0021,2000,1.0000,0.6103,
325,5.4716,-0.0025,0.0020,2000,1.0000,0.6103,
326,5.4884,-0.0025,0.0021,2000,1.0000,0.6085,
327,5.5052,-0.0025,0.0021,2000,1.0000,0.6094,
328,5.5221,-0.0025,0.0021,2000,1.0000,0.6094,
329,5.5389,-0.0025,0.0019,2000,1.0000,0.6104,
330,5.5558,-0.0008,0.0009,1998,0.9995,0.6097,
331,5.5726,-0.0008,0.0009,2000,1.0000,0.6097,
332,5.5894,-0.0008,0.0009,2000,1.0000,0.6100,
333,5.6063,-0.0008,0.0008,2000,1.0000,0.6106,
334,5.6231,-0.0008,0.0009,2000,1.0000,0.6106,
335,5.6399,-0.0008,0.0007,2000,1.0000,0.6083,
336,5.6568,-0.0008,0.0007,2000,1.0000,0.6083,
337,5.6736,-0.0008,0.0006,2000,1.0000,0.6083,
338,5.6904,-0.0008,0.0006,2000,1.0000,0.6083,
339,5.7073,-0.0008,0.0006,2000,1.0000,0.6103,
340,5.7241,-0.0008,0.0006,2000,1.0000,0.6093,
341,5.7409,-0.0008,0.0007,2000,1.0000,0.6093,
342,5.7578,-0.0008,0.0005,2000,1.0000,0.6102,
343,5.7746,-0.0008,0.0005,2000,1.0000,0.6100,
344,5.7914,-0.0008,0.0005,2000,1.0000,0.6100,
345,5.8083,-0.0008,0.0006,2000,1.0000,0.6089,
346,5.8251,-0.0008,0.0005,1997,1.0000,0.6098,
347,5.8420,-0.0008,0.0005,2000,1.0000,0.6100,
348,5.8588,-0.0008,0.0005,2000,1.0000,0.6100,
349,5.8756,-0.0009,0.0005,1999,1.0000,0.6098,
350,5.8925,-0.0009,0.0005,2000,1.0000,0.6097,
351,5.9093,-0.0009,0.0005,1999,1.0000,0.6097,
352,5.9261,-0.0009,0.0006,2000,1.0000,0.6098,
353,5.9430,-0.0008,0.0006,1999,1.0000,0.6098,
354,5.9598,-0.0009,0.0007,2000,1.0000,0.6097,
355,5.9766,-0.0008,0.0007,2000,1.0000,0.6103,
356,5.9935,-0.0009,0.0007,2000,1.0000,0.6103,
357,6.0103,-0.0008,0.0006,2000,1.0000,0.6099,
358,6.0271,-0.0009,0.0006,1998,1.0000,0.6099,
359,6.0440,-0.0008,0.0007,2000,1.0000,0.6099,
360,6.0608,-0.0023,0.0005,1999,1.0000,0.6099,
361,6.0777,-0.0023,0.0005,2000,1.0000,0.6109,
362,6.0945,-0.0023,0.0005,2000,1.0000,0.6105,
363,6.1113,-0.0023,0.0005,1999,1.0000,0.6089,
364,6.1282,-0.0023,0.0005,2000,1.0000,0.6101,
365,6.1450,-0.0024,0.0006,2000,1.0000,0.6101,
366,6.1618,-0.0024,0.0006,2000,1.0000,0.6101,
367,6.1787,-0.0027,0.0008,2000,1.0000,0.6101,
368,6.1955,-0.0027,0.0008,2000,1.0000,0.6101,
369,6.2123,-0.0027,0.0008,2000,1.0000,0.6101,
370,6.2292,-0.0027,0.0008,2000,1.0000,0.6101,
371,6.2460,-0.0027,0.0007,2000,1.0000,0.6096,
372,6.2628,-0.0028,0.0007,2000,1.0000,0.6096,
373,6.2797,-0.0028,0.0007,2000,1.0000,0.6096,
374,6.2965,-0.0027,0.0008,2000,1.0000,0.6096,
375,6.3134,-0.0027,0.0008,2000,1.0000,0.6104,
376,6.3302,-0.0027,0.0009,2000,1.0000,0.6104,
377,6.3470,-0.0028,0.0009,2000,1.0000,0.6104,
378,6.3639,-0.0028,0.0009,2000,1.0000,0.6106,
379,6.3807,-0.0027,0.0009,2000,1.0000,0.6110,
380,6.3975,-0.0027,0.0010,2000,1.0000,0.6096,
381,6.4144,-0.0027,0.0010,2000,1.0000,0.6096,
382,6.4312,-0.0028,0.0009,2000,1.0000,0.6096,
383,6.4480,-0.0028,0.0009,2000,1.0000,0.6096,
384,6.4649,-0.0028,0.0010,2000,1.0000,0.6096,
385,6.4817,-0.0028,0.0010,2000,1.0000,0.6096,
386,6.4985,-0.0027,0.0010,2000,1.0000,0.6096,
387,6.5154,-0.0027,0.0011,2000,1.0000,0.6096,
388,6.5322,-0.0027,0.0011,2000,1.0000,0.6096,
389,6.5491,-0.0028,0.0011,2000,1.0000,0.6096,
390,6.5659,-0.0023,0.0009,2000,1.0000,0.6101,
391,6.5827,-0.0023,0.0009,2000,1.0000,0.6101,
392,6.5996,-0.0023,0.0010,2000,1.0000,0.6102,
393,6.6164,-0.0023,0.0010,2000,1.0000,0.6103,
394,6.6332,-0.0023,0.0010,1999,1.0000,0.6103,
395,6.6501,-0.0022,0.0010,2000,1.0000,0.6102,
396,6.6669,-0.0021,0.0009,2000,1.0000,0.6102,
397,6.6837,-0.0021,0.0010,2000,1.0000,0.6086,
398,6.7006,-0.0021,0.0010,2000,1.0000,0.6086,
399,6.7174,-0.0021,0.0007,2000,1.0000,0.6099,
400,6.7342,-0.0020,0.0008,2000,1.0000,0.6105,
401,6.7511,-0.0020,0.0008,2000,1.0000,0.6105,
402,6.7679,-0.0020,0.0008,2000,1.0000,0.6105,
403,6.7848,-0.0021,0.0008,2000,1.0000,0.6097,
404,6.8016,-0.0020,0.0008,2000,1.0000,0.6097,
405,6.8184,-0.0020,0.0008,2000,1.0000,0.6082,
406,6.8353,-0.0020,0.0008,2000,1.0000,0.6082,
407,6.8521,-0.0020,0.0008,1999,1.0000,0.6082,
408,6.8689,-0.0020,0.0008,2000,1.0000,0.6082,
409,6.8858,-0.0020,0.0008,2000,1.0000,0.6082,
410,6.9026,-0.0021,0.0008,2000,1.0000,0.6088,
411,6.9194,-0.0021,0.0008,2000,1.0000,0.6102,
