frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
111,1.8688,0.1348,-0.0376,-0.0009,-0.0008,-0.1357,0.0368,0.1406,-0.0009,-0.0008,0.1406,2000,1.0000,0.6090,172,0.5521,0.193624,0.0295,
112,1.8856,-0.0349,0.0465,-0.0009,-0.0008,0.0340,-0.0473,0.0583,-0.0009,-0.0008,0.0583,2000,1.0000,0.6104,166,0.4523,0.193663,0.0702,
113,1.9024,0.0940,-0.0207,-0.0009,-0.0009,-0.0949,0.0198,0.0969,-0.0008,-0.0009,0.0968,2000,1.0000,0.6091,172,0.5452,0.193634,0.1714,
114,1.9193,0.0978,0.0246,-0.0008,-0.0010,-0.0986,-0.0256,0.1019,-0.0008,-0.0010,0.1019,2000,1.0000,0.6095,169,0.5038,0.193634,0.1483,
115,1.9361,0.0562,0.0018,-0.0008,-0.0009,-0.0570,-0.0027,0.0571,-0.0008,-0.0009,0.0571,2000,1.0000,0.6096,169,0.4872,0.193610,0.1593,
116,1.9529,0.0559,0.0018,-0.0008,-0.0009,-0.0567,-0.0027,0.0568,-0.0008,-0.0009,0.0568,2000,1.0000,0.6096,169,0.4871,0.193610,0.1590,
117,1.9698,-0.1235,-0.0346,-0.0008,-0.0009,0.1227,0.0337,0.1272,-0.0008,-0.0009,0.1272,2000,1.0000,0.6099,163,0.4450,0.193488,0.0924,
118,1.9866,0.1137,0.0054,-0.0010,-0.0009,-0.1147,-0.0063,0.1149,-0.0010,-0.0009,0.1149,2000,1.0000,0.6089,172,0.5679,0.193674,0.1772,
119,2.0034,0.0226,0.0153,-0.0010,-0.0009,-0.0236,-0.0162,0.0286,-0.0010,-0.0009,0.0286,2000,1.0000,0.6100,168,0.4709,0.193623,0.0851,
120,2.0203,-0.2449,0.0042,-0.0021,-0.0025,0.2428,-0.0067,0.2429,-0.0021,-0.0025,0.2429,2000,1.0000,0.6114,163,0.4244,0.193724,0.1900,
121,2.0371,-0.1168,0.0233,-0.0022,-0.0025,0.1146,-0.0258,0.1175,-0.0021,-0.0025,0.1176,1999,1.0000,0.6104,163,0.4095,0.193591,0.0030,
122,2.0539,-0.0955,-0.0124,-0.0022,-0.0025,0.0933,0.0099,0.0938,-0.0022,-0.0025,0.0938,2000,1.0000,0.6099,164,0.4362,0.193537,0.0644,
